LATITUDE,LONGITUDE,FIRE_SIZE,NWCG_GENERAL_CAUSE,NWCG_CAUSE_CLASSIFICATION,FIRE_YEAR,DISCOVERY_DOY,cause_binary,t_param,s_param,fire_size_log
39.25888889,-120.03555556,0.1,Recreation and ceremony,Human,2007,151,1,0.3401521023383733,0.33954658704873325,0.09531017980432487
39.21083333,-120.09722222,0.1,Other causes,Human,2007,229,1,0.27600265465016377,0.27099938899227943,0.09531017980432487
38.93805556,-119.93861111,0.1,Other causes,Human,2007,250,1,0.8525641175516115,0.7839230935759522,0.09531017980432487
38.93666667,-120.02361111,0.1,Recreation and ceremony,Human,2008,116,1,0.8658090111024626,0.8438018438247485,0.09531017980432487
39.18138889,-120.11527778,0.1,Recreation and ceremony,Human,2008,116,1,0.23811367830707045,0.23157035286355016,0.09531017980432487
38.91166667,-119.99111111,0.1,Arson/incendiarism,Human,2008,130,1,0.8636075353215975,0.8206934751578364,0.09531017980432487
38.97444444,-119.92361111,0.1,Arson/incendiarism,Human,2008,143,1,0.8428943684339998,0.7687831627580549,0.09531017980432487
39.31027778,-120.22305556,0.25,Natural,Natural,2008,142,0,0.22877206998491334,0.22082666513335214,0.22314355131420976
39.24083333,-120.01555556,0.1,Debris and open burning,Human,2008,161,1,0.35001276847507745,0.35626470782021336,0.09531017980432487
39.24972222,-120.00666667,0.1,Recreation and ceremony,Human,2008,186,1,0.4095760548959326,0.4035037081670243,0.09531017980432487
39.00972222,-119.89166667,0.1,Recreation and ceremony,Human,2008,184,1,0.7927293604382784,0.7208241543188019,0.09531017980432487
38.87111111,-120.11027778,0.2,Recreation and ceremony,Human,2008,211,1,0.9263419672563776,0.9343578273070657,0.18232155679395465
39.25277778,-120.19277778,0.25,Power generation/transmission/distribution,Human,2008,167,1,0.22843856188517742,0.22061647572475046,0.22314355131420976
39.24222222,-119.87361111,2.96,Arson/incendiarism,Human,2008,198,1,0.46360759199813467,0.47529735280700447,1.3762440252663892
39.11055556,-120.16555556,0.1,Recreation and ceremony,Human,2008,237,1,0.14524803161588412,0.14365101723830814,0.09531017980432487
39.26972222,-119.93555556,0.1,Recreation and ceremony,Human,2008,246,1,0.4445450887027463,0.4477970418741843,0.09531017980432487
39.24861111,-120.05166667,0.1,Power generation/transmission/distribution,Human,2008,229,1,0.3228918508146035,0.32772602388526056,0.09531017980432487
38.88722222,-119.9775,0.1,Recreation and ceremony,Human,2008,196,1,0.8629683866040533,0.8130650880383951,0.09531017980432487
39.3275,-119.93027778,0.1,Recreation and ceremony,Human,2008,289,1,0.4427542248733765,0.441516473068093,0.09531017980432487
39.04972222,-120.11361111,0.1,Recreation and ceremony,Human,2008,257,1,0.07748563113492637,0.06507868919938468,0.09531017980432487
