LATITUDE,LONGITUDE,Cluster_Std,Cluster_OA,Cause,Specific_Cause,Fire_Size_Acres,Fire_Year
35.97983,-114.67289,4,4,Human-Caused,Equipment and vehicle use,0.1,2019
36.4503,-114.9564,2,2,Human-Caused,Equipment and vehicle use,0.1,2019
35.965,-114.9778,4,4,Human-Caused,Firearms and explosives use,0.1,2019
36.2078,-114.9006,4,4,Human-Caused,Debris and open burning,0.1,2019
36.2028,-114.995,4,4,Human-Caused,Fireworks,0.1,2019
36.1644,-114.2761,1,3,Natural,Lightning,4465.0,2019
36.4711,-114.8194,2,2,Human-Caused,Equipment and vehicle use,1.6,2019
36.1953,-114.9286,4,4,Human-Caused,Equipment and vehicle use,0.1,2019
36.5239,-114.7317,2,2,Human-Caused,Equipment and vehicle use,0.1,2019
35.97250532,-114.09331161,1,1,Human-Caused,Equipment and vehicle use,0.25,2020
36.5223054,-113.86501162,3,3,Natural,Lightning,38628.0,2020
36.54537538,-114.18031169,3,3,Human-Caused,Equipment and vehicle use,16.0,2020
35.82078532,-113.77691154,1,1,Natural,Lightning,600.0,2020
35.96619279,-114.09281039,1,1,Human-Caused,Equipment and vehicle use,0.25,2020
36.57583537,-114.48581175,2,2,Human-Caused,Firearms and explosives use,0.1,2020
36.41803534,-114.55231174,2,2,Human-Caused,Arson/incendiarism,0.1,2020
36.30782768,-114.42903527,2,2,Human-Caused,Recreation and ceremony,0.1,2020
36.45279533,-114.8423118,2,2,Human-Caused,Fireworks,0.5,2020
36.44998532,-114.94531182,2,2,Human-Caused,Firearms and explosives use,0.1,2020
36.48388533,-114.93801182,2,2,Human-Caused,Firearms and explosives use,0.1,2020
36.46888533,-114.8259118,2,2,Human-Caused,Equipment and vehicle use,0.31,2020
36.34179532,-114.84061179,2,2,Human-Caused,Firearms and explosives use,14.0,2020
36.40178532,-114.8603118,2,2,Human-Caused,Firearms and explosives use,0.1,2020
36.40208532,-114.8599118,2,2,Human-Caused,Firearms and explosives use,0.1,2020
36.2056653,-114.90041179,4,4,Human-Caused,Arson/incendiarism,0.1,2020
